Single/Multiphase,synthesis method,grain size ($\mu$m),ROM Density (g/cm$^3$),HV,Type of test,Test temperature ($^\circ$C),YS (MPa),UTS (MPa),Elongation (%),Elongation plastic (%),ROM Young modulus (GPa),Exp. Young modulus (GPa),Exp. Density (g/cm$^3$),BCC/FCC/other,Processing method,Calculated Density (g/cm$^3$),Calculated Young modulus (GPa),Young modulus_new (GPa)
S,AC,,6.7,,C,25,1138,,,11,125,,,BCC,CAST,6.7,184,125
S,AC,,6.8,,C,25,1804,2280,,9,196,,,BCC,CAST,6.8,188,196
M,AC,,6.9,,C,25,2456,2953,,3,,,,other,CAST,6.9,,
M,AC,,7,,C,25,2649,3208,,3,,,,other,CAST,7,,
M,AC,,7,,C,25,2670,3161,,3,,,,other,CAST,7,,
M,AC,,7.1,,C,25,2757,3036,,3,,,,other,CAST,7.1,,
S,AC,,6.7,,C,25,1051,,,,194,,,BCC,CAST,6.7,184,194
S,AC,,6.8,569,C,25,1641,3285,,17,192,,,BCC,CAST,6.8,182,192
M,AC,,6.8,668,C,25,1959,3008,,11,,,,other,CAST,6.8,,
M,AC,,7,747,C,25,2473,3170,,4,,,,other,CAST,7,,
M,AC,,7,,,25,,,,,,,,other,CAST,7,,
S,AC,,6.7,520,C,25,1373,3531,,25,194,,,BCC,CAST,6.7,184,194
M,AC,,7.3,270,,25,,,,,187,,,other,CAST,7.3,,187
M,AC,,7,801,,25,,,,,,,,other,CAST,7,,
M,AC,,7.2,741,,25,,,,,,,,other,CAST,7.2,,
M,AC,200,7.3,586,,25,,,,,,,,other,CAST,7.3,,
M,AC,,7.1,796,,25,,,,,,,,other,CAST,7.1,,
M,AC,,7,755,,25,,,,,,,,other,CAST,7.1,,
M,AC,,7.1,754,,25,,,,,,,,other,CAST,7.1,,
M,AC,,7.2,635,,25,,,,,,,,other,CAST,7.2,,
M,AC,,7.2,639,,25,,,,,,,,other,CAST,7.2,,
M,AC,,6.8,857,,25,,,,,,,,other,CAST,6.8,,
M,AC,,7.1,730,,25,,,,,,,,other,CAST,7.1,,
M,AC,,7,708,,25,,,,,,,,other,CAST,7,,
M,AC,,7.2,586,,25,,,,,,,,other,CAST,7.2,,
M,AC,,7.4,395,,25,,,,,,,,other,CAST,7.3,,
S,AC,,5.7,,C,25,1110,,,,169,,,BCC,CAST,6.7,184,169
M,AC,,5.7,,C,25,2411,2950,,1,,,,other,CAST,5.7,,
S,AC,,6.5,,C,25,1265,2173,,14,188,,,BCC,CAST,6.5,176,188
S,AC,,6.2,,C,25,1481,2444,,13,183,,,BCC,CAST,6.2,169,183
S,AC,,6,,C,25,1834,2195,,3,178,,,BCC,CAST,6,162,178
M,AC,,5.8,,C,25,2179,2664,,2,,,,other,CAST,5.8,,
S,AC,,7.4,,,25,,,,,198,,,FCC,CAST,7.4,192,198
S,AC,,7.5,,C,25,750,1970,,39,,103,,FCC,CAST,7.5,189,103
M,AC,,7.1,,C,25,1580,2389,,17,,161,,other,CAST,7.1,,161
M,AC,,6.8,,C,25,1900,2697,,12,,164,,other,CAST,6.8,,164
S,AC,,7.8,,C,25,700,1650,,29,,93,,FCC,CAST,7.8,194,194
M,AC,,6.2,,C,25,1860,2580,10.7,9,,90,,other,CAST,6.2,,90
M,AC,,6.4,178,C,25,2260,3140,24.4,23,,178,,other,CAST,6.4,,178
M,AC,,6.1,,C,25,2220,2720,6.6,5,,160,,other,CAST,6.1,,160
,AC,,6.3,780,,25,,,,,,,,other,CAST,6.3,,
S,AC,,6.2,790,,25,,,,,143,,,BCC,CAST,6.2,129,143
S,AC,,5.9,800,,25,,,,,132,,,BCC,CAST,5.9,119,132
,AC,,7.1,680,,25,,,,,168,,,other,CAST,7.1,,168
,AC,,7.3,850,,25,,,,,193,,,other,CAST,7.3,,193
,AC,,7.1,630,,25,,,,,,,,other,CAST,7.1,,
,AC,,7.3,790,,25,,,,,,,,other,CAST,7.3,,
,AC,,6.8,590,,25,,,,,142,,,other,CAST,6.8,,142
M,AC,,7.1,740,,25,,,,,,,,other,CAST,7.1,,
S,AC,,7.9,180,,25,,,,,216,,,FCC,CAST,7.9,216,216
S,AC,,7.7,171,T,25,220,,56,,214,,,FCC,CAST,7.7,212,214
S,AC,,7.5,182,T,25,244,,45,,209,,,FCC,CAST,7.5,205,209
M,AC,,7.4,183,T,25,285,,35,,208,,,other,CAST,7.4,,208
M,AC,,7.4,220,T,25,331,,29,,206,,,other,CAST,7.4,,206
M,AC,,7.3,278,T,25,526,,16,,204,,,other,CAST,7.3,,204
M,AC,,7.2,405,T,25,833,,5,,203,,,other,CAST,7.2,,203
M,AC,,7.2,486,,25,,,,,202,,,other,CAST,7.2,,202
